date,organic_sessions,sessions_avg,bounce_rate
2019-01-01,213,42,46.0
2019-01-02,286,57,41.0
2019-01-03,249,49,40.0
2019-01-04,286,57,35.0
2019-01-05,249,49,46.0
2019-01-06,230,46,44.0
2019-01-07,304,60,41.0
2019-01-08,318,63,46.0
2019-01-09,333,66,49.0
2019-01-10,340,68,44.0
2019-01-11,294,58,49.0
2019-01-12,223,44,46.0
2019-01-13,224,44,46.0
2019-01-14,305,61,50.0
2019-01-15,318,63,46.0
2019-01-16,325,65,37.0
2019-01-17,332,66,48.0
2019-01-18,275,55,43.0
2019-01-19,221,44,45.0
2019-01-20,244,48,41.0
2019-01-21,322,64,43.0
2019-01-22,348,69,46.0
2019-01-23,333,66,44.0
2019-01-24,319,63,42.0
2019-01-25,273,54,39.0
2019-01-26,221,44,47.0
2019-01-27,220,44,41.0
2019-01-28,328,65,37.0
2019-01-29,329,65,43.0
2019-01-30,315,63,39.0
2019-01-31,341,68,49.0
2019-02-01,295,59,42.0
2019-02-02,197,39,38.0
2019-02-03,216,43,38.0
2019-02-04,296,59,48.0
2019-02-05,331,66,48.0
2019-02-06,330,66,47.0
2019-02-07,345,69,39.0
2019-02-08,315,63,47.0
2019-02-09,235,47,47.0
2019-02-10,266,53,45.0
2019-02-11,300,60,48.0
2019-02-12,365,73,42.0
2019-02-13,323,64,43.0
2019-02-14,246,49,42.0
2019-02-15,304,60,46.0
2019-02-16,245,49,43.0
2019-02-17,261,52,47.0
2019-02-18,333,66,52.0
2019-02-19,362,72,41.0
2019-02-20,337,67,46.0
2019-02-21,309,61,50.0
2019-02-22,306,61,40.0
2019-02-23,256,51,50.0
2019-02-24,249,49,45.0
2019-02-25,303,60,46.0
2019-02-26,324,64,47.0
2019-02-27,347,69,45.0
2019-02-28,333,66,43.0
2019-03-01,298,59,45.0
2019-03-02,236,47,44.0
2019-03-03,246,49,47.0
2019-03-04,327,65,39.0
2019-03-05,330,66,38.0
2019-03-06,292,58,50.0
2019-03-07,303,60,46.0
2019-03-08,295,59,42.0
2019-03-09,234,46,48.0
2019-03-10,215,43,47.0
2019-03-11,364,72,49.0
2019-03-12,335,67,49.0
2019-03-13,339,67,53.0
2019-03-14,319,63,50.0
2019-03-15,264,52,45.0
2019-03-16,167,33,46.0
2019-03-17,183,36,48.0
2019-03-18,300,60,48.0
2019-03-19,315,63,45.0
2019-03-20,299,59,43.0
2019-03-21,254,50,46.0
2019-03-22,255,51,44.0
2019-03-23,192,38,35.0
2019-03-24,211,42,56.0
2019-03-25,279,55,47.0
2019-03-26,311,62,42.0
2019-03-27,248,49,44.0
2019-03-28,249,49,45.0
2019-03-29,234,46,49.0
2019-03-30,186,37,45.0
2019-03-31,184,36,51.0
2019-04-01,277,55,49.0
2019-04-02,315,63,42.0
2019-04-03,303,60,42.0
2019-04-04,310,62,40.0
2019-04-05,253,50,47.0
2019-04-06,172,34,46.0
2019-04-07,190,38,43.0
2019-04-08,269,53,44.0
2019-04-09,256,51,51.0
2019-04-10,290,58,43.0
2019-04-11,265,53,49.0
2019-04-12,253,50,46.0
2019-04-13,162,32,46.0
2019-04-14,187,37,52.0
2019-04-15,240,48,55.0
2019-04-16,283,56,40.0
2019-04-17,245,49,50.0
2019-04-18,269,53,52.0
2019-04-19,236,47,46.0
2019-04-20,204,40,49.0
2019-04-21,156,31,57.0
2019-04-22,269,53,44.0
2019-04-23,284,56,54.0
2019-04-24,297,59,47.0
2019-04-25,293,58,46.0
2019-04-26,248,49,47.0
2019-04-27,205,41,52.0
2019-04-28,190,38,48.0
2019-04-29,303,60,48.0
2019-04-30,288,57,52.0
2019-05-01,296,59,44.0
2019-05-02,283,56,45.0
2019-05-03,251,50,53.0
2019-05-04,180,36,48.0
2019-05-05,182,36,46.0
2019-05-06,269,53,50.0
2019-05-07,336,67,52.0
2019-05-08,289,57,49.0
2019-05-09,283,56,55.0
2019-05-10,324,64,47.0
2019-05-11,240,48,49.0
2019-05-12,213,42,55.0
2019-05-13,311,62,51.0
2019-05-14,354,70,49.0
2019-05-15,322,64,49.0
2019-05-16,297,59,51.0
2019-05-17,251,50,47.0
2019-05-18,228,45,43.0
2019-05-19,246,49,50.0
2019-05-20,325,65,42.0
2019-05-21,341,68,51.0
2019-05-22,311,62,49.0
2019-05-23,310,62,46.0
2019-05-24,286,57,43.0
2019-05-25,201,40,48.0
2019-05-26,199,39,52.0
2019-05-27,236,47,41.0
2019-05-28,313,62,48.0
2019-05-29,350,70,49.0
2019-05-30,303,60,54.0
2019-05-31,262,52,48.0
2019-06-01,213,42,50.0
2019-06-02,212,42,47.0
2019-06-03,327,65,46.0
2019-06-04,312,62,49.0
2019-06-05,331,66,50.0
2019-06-06,339,67,51.0
2019-06-07,499,99,55.0
2019-06-08,215,43,52.0
2019-06-09,191,38,50.0
